Invoice Number,Invoice Date,Sales Order#,Customer Name,Total with out GST,Total,Status,Salesperson Name,Account Type,Item Category
DN/BLR/23-24/001,06-12-2023,SO/BLR/21-22/2376,AMERICAN TECH,"INR 41,315","INR 48,752",Overdue,Abrar,C1: TCP,-No Value-
DN/BLR/23-24/002,06-12-2023,-No Value-,S. S. S. EQUIPMENT TOOLS,"INR 35,910","INR 42,374",Overdue,Manogar G,C1: TCP,-No Value-
DN/BLR/23-24/003,19-12-2023,-No Value-,AKSHAY M SAND STONE CRUSHER,"INR 11,880","INR 14,018",Overdue,Murugan,B3: Stone Crushers,-No Value-
IV/BLR23-24/1669,03-10-2023,SO/BLR23-24/1974,DYNATRACK TECHNOLOGIES INDIA PRIVATE LIMITED,"INR 68,432","INR 80,750",Overdue,Murugan,B3: Stone Crushers,-No Value-
IV/BLR23-24/1670,03-10-2023,SO/BLR23-24/1945,MK TRADERS,"INR 4,665","INR 5,505",Overdue,tousiff,C1: TCP,-No Value-
IV/BLR23-24/1671,03-10-2023,SO/BLR23-24/1790,MP Automobiles,"INR 11,652","INR 13,749",Overdue,tousiff,C1: TCP,Lubricants
IV/BLR23-24/1672,03-10-2023,SO/BLR23-24/1961,SRI KALABYRAVESHWARA TRADERS .,"INR 2,203","INR 2,600",Closed,Abrar,C1: TCP,-No Value-
IV/BLR23-24/1673,03-10-2023,SO/BLR23-24/1965,AMRUTHA CONSTRUCTIONS PRIVATE LIMITED,"INR 8,425","INR 9,942",Overdue,Murugan,B1: Zonal Corporate,-No Value-
IV/BLR23-24/1674,03-10-2023,SO/BLR23-24/1986,SHANKARANARAYANA CONSTRUCTIONS PRIVATE LIMITED,"INR 72,840","INR 85,952",Closed,Bhuvi,A1: Corporate,-No Value-
IV/BLR23-24/1675,03-10-2023,SO/BLR23-24/1912,SHANKARANARAYANA CONSTRUCTIONS PRIVATE LIMITED,"INR 4,460","INR 5,263",Overdue,Bhuvi,A1: Corporate,-No Value-
IV/BLR23-24/1676,03-10-2023,SO/BLR23-24/1926,Aditya Construction Company,"INR 3,800","INR 4,484",Closed,Sangamesh,A1: Corporate,-No Value-
IV/BLR23-24/1677,03-10-2023,SO/BLR23-24/1979,PADMA OIL CENTER GOKAK,"INR 68,498","INR 80,828",Closed,Sangamesh,C1: TCP,-No Value-
IV/BLR23-24/1678,03-10-2023,SO/BLR23-24/1988,SHANKARANARAYANA CONSTRUCTIONS PRIVATE LIMITED,"INR 16,730","INR 19,741",Overdue,Bhuvi,A1: Corporate,-No Value-
IV/BLR23-24/1679,03-10-2023,SO/BLR23-24/2002,Ningana Gouda Goudar,"INR 1,250","INR 1,475",Closed,Sangamesh,D1: Retail (Individual Owners),-No Value-
